name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Cods, hakes, haddocks, PROCESS Cooking in water",29.0,0.02,26.0,330.0,330.0,0.037,0.5,0.4,6.1,0.04,0.07,0.002,0.06,,0.0
"Cods, hakes, haddocks, PROCESS Frying",13.0,0.03,27.0,200.0,285.0,0.037,0.2,0.5,6.467,0.05,0.053,0.002,0.193,1.2,0.0
"Cods, hakes, haddocks, PROCESS Steaming",13.0,0.03,33.0,228.0,374.0,0.031,0.2,0.56,6.1,0.08,0.03,0.0024,0.144,0.7,0.0
Coffee (average strenght) beverage,4.0,0.01,6.0,,78.0,,0.2,0.01,0.7,0.01,0.01,0.0,,,0.0
Coffee (weak strenght) beverage,4.0,0.01,6.0,,78.0,0.0,0.2,0.01,0.491,0.01,0.01,0.0,0.0,,0.0
"Coffee beans, roasted",120.0,1.55,240.0,160.0,2020.0,0.01,4.1,0.79,16.83,0.2,0.07,0.0,0.001,2.7,0.0
Coffee beverage decaffeinated,4.0,0.01,4.0,3.0,36.0,0.0001,0.04,0.01,0.282,0.014,,0.0,,0.0,0.0
"Coffee drink, caf macchiato",107.0,0.019,11.0,83.0,147.0,,0.059,0.391,0.697,0.164,0.034,0.0004,0.042,0.034,0.0
"Coffee drink, cappuccino",53.0,,8.0,40.0,96.0,0.001,0.1,0.16,0.695,0.07,0.01,0.00020999999999999998,0.013,,0.0
Coffee espresso (beverage),4.0,0.01,,,78.0,0.0,0.2,0.01,5.207,0.01,0.01,0.0,,,0.0
"Coffee ground, roasted",120.0,1.55,240.0,160.0,2020.0,0.01,4.1,0.79,16.83,0.2,0.07,0.0,0.001,2.7,0.0
"Coffee ground, roasted and decaffeinated",130.0,0.82,240.0,160.0,2020.0,0.005,4.1,0.71,10.0,0.2,0.07,0.0,,,
Coffee liqueur,,0.02,,,,,,,0.1,,,0.0,0.0,0.0,0.0
Coffee with milk or cream,3.0,0.01,6.0,13.0,94.0,,0.2,0.01,0.697,0.01,0.01,,,,0.0
"Cola beverages, caffeinic",5.0,0.01,,20.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cola beverages, decaffeinated",2.0,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cola mix, flavoured cola",1.0,0.003,2.0,16.0,,0.0001,0.01,0.011,0.0,0.0,0.0,0.0,0.0,,0.0
Cola-type drinks,5.0,0.01,,20.0,,,,,,,,,,0.0,0.0
Common banana,6.0,0.09,28.0,28.0,374.0,0.004,0.3,0.25,1.0,0.03,0.03,0.0,0.291,0.2,0.0
"Common banana, PROCESS Baking",14.0,0.11,9.0,15.5,105.0,0.0006,0.24,0.079,0.717,0.057,0.058,,0.134,1.12,0.0
"Common banana, PROCESS Cooking in water",7.0,0.124,27.0,20.0,252.0,,0.363,0.185,1.028,0.052,0.033,0.0,0.291,0.309,0.0
"Common banana, PROCESS Steaming",7.0,0.114,30.0,22.0,306.0,,0.372,0.18,1.047,0.054,0.035,0.0,0.323,0.3,0.0
Common bean sprouts,30.0,0.4,50.0,60.0,307.0,,1.0,0.5,2.667,0.215,0.37,0.0,0.081,0.09,0.005
Common millet and similar-,25.0,0.49,100.0,300.0,280.0,0.002,4.8,1.7,3.8,0.14,0.26,0.0,,0.3,0.001
"Common millet and similar-, PROCESS Cooking in water",13.0,0.16,34.0,100.0,94.0,0.001,1.6,0.57,1.426,0.05,0.09,0.0,,0.1,0.0
"Common millet and similar-, PROCESS Steaming",13.0,0.16,34.0,100.0,94.0,0.001,1.6,0.57,1.426,0.05,0.09,0.0,,0.1,0.0
Common mushrooms,25.0,0.72,9.0,125.0,400.0,,0.2,0.3,5.6,0.3,0.07,,0.12,0.1,0.014
"Common mushrooms, PROCESS Baking",14.0,0.429,17.0,158.0,478.0,,1.454,0.641,6.772,0.491,0.101,0.0,0.072,0.098,0.017
"Common mushrooms, PROCESS Cooking in water",25.0,0.4,7.0,125.0,400.0,0.007,1.0,0.3,4.343,0.3,0.07,,0.07,0.1,0.016
"Common mushrooms, PROCESS Frying",4.0,0.29,12.0,101.0,410.0,0.013,0.3,0.56,4.2,0.29,0.07,0.0,0.067,0.6,
"Common mushrooms, PROCESS Steaming",25.0,0.4,7.0,125.0,400.0,0.007,1.0,0.3,6.56,0.3,0.07,,0.07,0.1,0.017
Common nettle,713.0,0.24,80.0,138.0,475.0,,4.12,1.02,3.733,0.15,0.2,,0.16,0.8,0.0
Common wheat grain,23.0,0.14,20.0,103.0,156.0,0.005,0.8,0.64,3.0,0.04,0.07,0.0,0.12,0.4,
Condensed milk (sometimes with added sugars),300.0,0.03,29.0,225.0,300.0,0.003,0.1,0.9,2.2,0.4,0.09,0.0007,0.05,,0.0
Conger,17.0,0.087,26.0,334.0,280.0,,0.867,2.048,5.6,0.32,0.18,0.001,0.28,8.0,0.0
"Conger, PROCESS Baking",20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, PROCESS Cooking in water",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
"Conger, PROCESS Frying",20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, PROCESS Steaming",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
"Conger, european",71.0,0.2,20.0,270.0,240.0,,1.3,0.9,7.7,0.04,0.06,0.003,0.28,8.0,0.0
"Conger, european, PROCESS Baking",85.0,0.24,24.0,320.0,290.0,,1.5,1.1,8.8,0.04,0.06,0.004,0.267,8.893,0.0
"Conger, european, PROCESS Cooking in water",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
"Conger, european, PROCESS Frying",20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, european, PROCESS Steaming",20.0,0.05,19.0,200.0,250.0,0.03,1.0,1.75,5.349,0.35,0.1,0.004,0.17,4.1,0.0
"Continental european brown cooked sauce, gravy",7.0,,1.0,6.0,11.0,,,,0.154,,,,,7.1,0.0
Cooked bovine tongue,32.0,0.29,14.0,140.0,97.0,0.0022,2.5,2.3,7.841,0.39,0.04,0.005,0.04,0.26,0.0
"Cooked bratwurst-type sausage, PROCESS Baking",45.0,0.09,15.0,150.0,210.0,,1.3,2.3,6.891,0.18,0.51,0.001,0.21,0.311,0.004
"Cooked bratwurst-type sausage, PROCESS Cooking in water",13.0,0.071,22.0,96.0,233.0,0.0048,0.808,1.952,6.891,0.179,0.454,0.0017,0.353,0.311,0.004
"Cooked bratwurst-type sausage, PROCESS Steaming",13.0,0.071,22.0,96.0,233.0,,0.808,1.952,6.891,0.179,0.454,0.0017,0.353,0.311,0.004
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
Cooked other poultry meat,13.0,0.08,28.0,350.0,360.0,0.011,0.4,0.8,13.9,0.18,0.05,,0.42,0.24,
Cooked pork ham,9.0,0.05,19.0,330.0,334.0,0.011,0.8,2.2,9.6,0.17,0.41,0.00044,0.09,0.5,0.0
Cooked pork tongue,6.52,0.23,18.0,195.0,282.0,0.012,2.15,2.6,8.63,0.42,0.33,0.0037,0.35,0.1,0.0
"Cooked sausages (generic), QUAL Low fat (naturally or reduced)",18.0,0.06,11.0,286.0,350.0,0.008,1.3,1.34,5.0,0.12,0.14,0.00075,0.035,0.25,0.009
"Cooked sausages (generic), QUAL Low sodium / reduced salt",10.0,0.061,16.0,185.0,205.0,,2.7,1.197,5.217,0.08,,0.0009,0.306,0.266,0.009
Cooked turkey meat,6.0,0.13,25.0,310.0,330.0,0.011,0.4,1.1,13.8,0.18,0.05,0.0013,0.41,0.24,0.0
Coriander seed,709.0,0.97,330.0,409.0,1267.0,0.026199999999999998,16.3,4.7,2.13,0.29,0.239,0.0,0.2,,0.0
Corn chips,174.0,0.52,146.0,200.0,215.0,0.007,2.3,2.46,2.283,0.1,0.02,0.0,0.213,4.3,
Corn curls,40.0,0.061,21.0,67.0,293.0,0.0016,0.67,0.45,1.653,0.123,0.063,,0.2,3.0,0.0
Corn semolina based thick soup,3.0,0.008,3.0,7.0,7.0,,0.109,0.039,0.184,0.003,0.006,0.0,0.007,0.132,0.0
"Corned beef, uncooked, PROCESS Baking",38.0,0.326,20.0,174.0,151.0,,3.227,5.434,7.426,0.129,0.031,0.001,0.143,0.183,0.0
"Corned beef, uncooked, PROCESS Cooking in water",10.0,0.18,15.0,150.0,100.0,0.008,4.0,5.5,8.2,0.1,0.01,0.0019,0.04,0.8,0.0
"Corned beef, uncooked, PROCESS Frying",38.0,0.326,20.0,174.0,151.0,,3.227,5.434,7.426,0.129,0.031,0.001,0.143,0.183,0.0
"Corned beef, uncooked, PROCESS Steaming",10.0,0.18,15.0,150.0,100.0,0.008,4.0,5.5,8.2,0.1,0.01,0.0019,0.04,0.8,0.0
"Corned pork meat, cooked",5.13,0.05,21.5,301.0,317.0,0.0104,0.52,1.39,8.93,0.109,0.87,0.00043,0.33,0.14,
"Corned pork, uncooked, PROCESS Baking",33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
"Corned pork, uncooked, PROCESS Cooking in water",33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
"Corned pork, uncooked, PROCESS Steaming",33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
Cornmeal porridge,7.0,0.068,18.0,92.0,36.0,,0.905,0.896,0.929,0.037,0.083,0.0,0.011,0.419,0.0
"Cornmeal porridge, INGRED Cow milk, whole",126.5,0.0105,11.8,94.8,157.2,0.0029,0.1,0.4,0.1,0.15,0.03,0.0004,0.05,0.1,
"Cornmeal porridge, INGRED Tap water",3.0,,,50.0,65.0,,0.9,0.5,1.0,0.05,0.18,0.0,,,0.0
Cottage cheese,75.0,0.034,7.0,141.0,85.0,0.004,0.3,0.23,2.96,0.25,0.02,0.00076,0.09,0.138,
"Cottage cheese, QUAL Fat free",127.0,0.01,13.0,171.0,161.0,0.004,0.14,0.6,3.6,0.24,0.05,0.0006,0.05,0.03,
"Cotton seed oil, edible",,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,35.3,0.0
Courgettes,30.0,0.02,22.0,23.0,200.0,,0.8,0.3,0.55,0.09,0.05,0.0,0.15,0.1,0.0033
Courgettes and similar-,30.0,0.02,22.0,23.0,200.0,,0.8,0.3,0.917,0.09,0.05,0.0,0.15,0.1,0.0033
"Courgettes and similar-, PROCESS Baking",6.0,0.041,8.16,20.5,245.0,0.0,0.5,0.081,0.751,0.019,0.025,0.0,0.056,0.05,0.004200000000000001
"Courgettes and similar-, PROCESS Cooking in water",20.0,0.01,22.0,51.0,270.0,0.001,0.5,0.31,0.807,0.05,0.05,0.0,0.095,0.1,0.011
"Courgettes and similar-, PROCESS Frying",38.0,0.05,32.0,61.0,490.0,0.001,1.4,0.5,0.9,0.01,0.1,0.0,0.09,0.83,
"Courgettes and similar-, PROCESS Steaming",20.0,0.01,22.0,51.0,270.0,0.001,0.5,0.31,0.904,0.05,0.05,0.0,0.095,0.1,0.004200000000000001
"Courgettes, PROCESS Baking",4.38,0.03,8.4,19.8,146.0,,0.3,0.1,0.328,0.02,0.02,0.0,0.045,0.05,0.004200000000000001
"Courgettes, PROCESS Cooking in water",20.0,0.01,22.0,51.0,270.0,0.001,0.5,0.31,0.807,0.05,0.05,0.0,0.095,0.1,0.004200000000000001
"Courgettes, PROCESS Frying",38.0,0.05,32.0,61.0,490.0,0.001,1.4,0.5,0.9,0.01,0.1,0.0,0.09,0.83,
"Courgettes, PROCESS Steaming",20.0,0.01,22.0,51.0,270.0,0.001,0.5,0.31,0.904,0.05,0.05,0.0,0.095,0.1,0.004200000000000001
Couscous,24.0,0.25,44.0,170.0,166.0,,1.1,0.83,3.5,0.08,0.16,0.0,0.11,,0.0
"Couscous, PROCESS Cooking in water",12.0,0.08,15.0,57.0,56.0,,0.4,0.28,2.3,0.03,0.05,0.0,0.037,,
"Couscous, PROCESS Steaming",12.0,0.08,15.0,57.0,56.0,,0.4,0.28,2.3,0.03,0.05,0.0,0.037,,
"Cow milk, natural high fat",108.0,0.01,11.0,88.0,146.0,0.001,,0.31,0.7,0.21,0.03,0.00044,0.028,0.2,
"Cow milk, natural high fat, QUAL Low / reduced lactose",120.0,0.007,12.0,92.0,140.0,,0.06,0.4,0.69,0.18,0.037,0.0004,0.039,0.07,0.001
"Cow milk, semi skimmed (half fat)",122.0,,12.0,102.0,162.0,0.001,,0.41,0.883,0.18,0.03,0.00044,0.035,,
"Cow milk, semi skimmed (half fat), FORT Mixed supplements/formulations",,0.01,10.0,98.0,164.0,0.001,0.1,0.38,2.6,0.2,0.04,0.00047999999999999996,0.04,,
"Cow milk, semi skimmed (half fat), QUAL Low / reduced lactose",120.0,0.01,11.0,90.0,120.0,0.0028,0.1,0.4,1.517,0.19,0.04,0.0004,0.05,0.1,0.0
"Cow milk, skimmed (low fat)",127.0,,12.0,106.0,169.0,0.001,,0.46,1.05,0.18,0.03,0.00043,0.036,,0.0
"Cow milk, skimmed (low fat), FORT Mixed supplements/formulations",117.0,0.003,10.4,94.0,150.0,0.0036,0.04,0.4,0.18,0.24,0.05,0.00054,0.04,0.02,
"Cow milk, skimmed (low fat), QUAL Low / reduced lactose",121.0,0.002,12.0,90.0,160.0,0.0028,0.1,0.4,0.812,0.19,0.03,0.0004,0.05,0.1,0.0
"Cow milk, whole",123.0,,12.0,102.0,165.0,0.001,,0.46,0.867,0.18,0.03,0.00039,0.034,0.1,
"Cow milk, whole, QUAL Low / reduced lactose",120.0,0.007,12.0,92.0,140.0,,0.06,0.4,0.69,0.18,0.037,0.0004,0.039,0.07,0.001
"Crabmeat, cooked-deprecated",120.0,3.79,32.0,140.0,100.0,0.026,2.8,5.7,6.33,0.05,,,0.3,2.4,
"Crabs, sea-spiders",120.0,0.44,51.0,220.0,152.0,0.082,3.5,11.9,6.03,,0.05,0.0135,0.3,2.4,0.0
"Crabs, sea-spiders, PROCESS Baking",110.0,0.354,72.0,242.0,271.0,,1.796,2.605,6.749,0.033,0.043,0.0009,0.14,4.802,0.0
"Crabs, sea-spiders, PROCESS Cooking in water",29.0,4.8,48.0,350.0,270.0,0.05,1.3,5.5,6.33,0.15,0.1,0.01,0.3,2.4,0.0
"Crabs, sea-spiders, PROCESS Frying",116.0,0.351,72.0,239.0,251.0,,1.769,2.727,5.845,0.03,0.048,0.0008,0.114,5.027,0.0
"Crabs, sea-spiders, PROCESS Steaming",29.0,4.8,48.0,350.0,270.0,0.05,1.3,5.5,6.33,0.15,0.1,0.01,0.3,2.4,0.0
Crackers and breadsticks,110.0,0.2,25.0,110.0,120.0,0.004,1.7,0.7,3.53,0.05,0.23,0.0,0.03,1.3,
Cranberries,15.0,0.05,7.0,10.0,87.0,,1.0,0.2,0.733,0.01,,0.0,0.07,1.0,0.0
Cream cake,36.0,0.05,11.0,170.0,112.0,0.007,0.8,0.56,1.44,0.12,0.04,0.00025,0.065,1.9,0.005
Cream cheese cake,56.0,0.06,9.0,64.0,96.0,0.002,0.46,0.4,1.4,0.09,0.07,0.0005,0.02,1.19,0.002
Cream chocolate,95.0,0.45,32.0,110.0,192.0,0.002,1.2,0.66,1.62,0.17,0.04,,0.03,1.2,
Cream custard cake,95.0,0.07,14.0,98.0,110.0,0.004719999999999999,0.8,0.5,1.9,0.16,0.14,0.0007,0.03,1.27,0.005
Cream liqueur,28.0,0.01,3.0,19.0,33.0,0.0,,0.06,0.867,0.04,0.01,7.000000000000001e-05,0.008,0.3,0.0
Cream powder,790.0,0.175,85.0,600.0,1000.0,,0.9,3.0,5.45,1.4,0.25,0.003,0.3,1.3,0.0
Cream sauce,22.1,0.026,5.4,25.0,44.4,0.00020999999999999998,0.47,0.12,0.367,0.11,0.013,2.9999999999999997e-05,0.02,0.42,0.0
Cream sprayable,74.0,0.01,8.0,58.0,99.0,0.001,0.0,0.18,0.6,0.1,0.02,0.0002,0.02,0.9,
Cream with other ingredients,68.0,0.01,7.0,50.0,84.0,0.001,,0.15,1.27,0.1,0.02,0.00017,0.021,0.7,0.0
"Cream with other ingredients, QUAL Half fat or medium fat",80.0,0.012,9.0,61.0,110.0,,0.16,0.25,0.53,0.15,0.025,0.0004,0.03,0.8,0.0
"Cream, plain",79.0,0.01,8.0,58.0,97.0,0.001,,0.18,1.2,0.12,0.02,0.0002,0.024,1.0,
"Cream, plain, QUAL Half fat or medium fat",106.0,0.01,10.0,81.0,133.0,0.001,,0.3,1.05,0.16,0.03,0.00031,0.032,0.5,
"Cream, plain, QUAL Low fat (naturally or reduced)",,0.01,12.0,95.0,155.0,0.001,,0.38,0.9,0.19,0.04,0.00037,0.036,0.2,
Cream-cheese strudel,56.0,0.068,13.0,120.0,130.0,,0.732,0.562,2.104,0.14,0.047,0.0005,0.056,0.286,0.004
Creamed vegetable mix,120.0,0.03,18.0,119.0,309.0,0.001,0.57,0.9,1.9,0.11,0.11,0.0003,0.18,1.01,0.017
Cresses,250.0,0.09,44.0,80.0,500.0,,2.5,0.46,1.7,0.1,0.01,0.0,0.17,3.6,0.56
"Crisp bread, rye wholemeal",40.0,0.4,100.0,325.0,500.0,0.002,2.5,2.5,3.0,0.1,0.22,0.0,0.26,0.5,
"Crisp bread, rye, refined flour",80.0,0.37,95.5,380.0,476.0,0.0066,3.8,2.58,3.43,0.23,0.34,0.0,0.265,0.35,
"Crisp bread, wheat, refined flour",100.0,0.3,70.0,225.0,250.0,0.002,2.3,1.8,4.73,0.1,0.2,0.0,0.12,0.9,
"Crisp bread, wheat, wholemeal",100.0,0.4,90.0,330.0,520.0,0.002,3.0,2.4,5.83,0.2,0.3,0.0,0.3,1.0,
Croissant,24.0,0.11,17.0,83.0,100.0,0.004,0.7,0.69,3.3,0.1,0.07,,0.041,1.8,
Croissant from puff pastry,24.0,0.11,17.0,83.0,100.0,0.004,0.7,0.69,3.3,0.1,0.07,,0.041,1.8,0.014
"Croissant, filled with chocolate",31.0,0.36,35.0,100.0,175.0,0.004,1.4,0.84,3.201,0.1,0.06,7.000000000000001e-05,0.036,1.7,0.003
"Croissant, filled with cream",18.0,,,77.0,58.0,,1.3,1.0,1.8,0.16,0.17,,0.11,0.05,
"Croissant, filled with jam",10.0,,,64.0,57.0,,1.3,0.8,1.9,0.15,0.16,,0.1,0.0,
Croquembouche,71.6,1.0,9.6,75.5,104.0,0.0184,1.0,1.0,0.05,0.065,0.05,0.00061,0.05,0.795,
Croutons,13.0,0.13,10.0,120.0,120.0,0.004,1.8,0.48,4.367,0.05,0.12,0.0,0.04,5.7,0.0
Crme fraiche and other mild variants of sour cream,70.0,0.01,8.0,58.0,97.0,0.001,,0.18,0.983,0.12,0.02,0.0002,0.024,0.9,0.0
"Crme fraiche and other mild variants of sour cream, QUAL Half fat or medium fat",101.0,0.01,10.0,75.0,126.0,0.001,,0.32,0.617,0.15,0.03,0.00031,0.03,0.4,0.0
"Crme fraiche and other mild variants of sour cream, QUAL Low fat (naturally or reduced)",122.0,0.009,11.1,90.6,136.0,0.00163,0.057,0.422,0.825,0.176,0.039,0.000232,0.036,0.231,
Cucumbers,20.0,0.03,11.0,32.0,187.0,,1.1,0.63,0.3,0.01,0.01,0.0,0.034,0.1,0.013
Cultured buttermilk,108.0,0.01,12.0,90.0,141.0,0.001,0.1,0.41,0.2,0.18,0.03,0.00029,0.038,0.1,
Cumin seed,931.0,1.29,370.0,499.0,1788.0,0.0052,66.4,4.2,8.067,0.33,0.63,0.0,0.435,1.88,0.0
Cured pork fat,4.0,0.1,1.0,26.0,25.0,0.006900000000000001,0.16,3.6,1.4,0.073,0.054,0.0007,0.025,0.1,0.0
Cured seasoned poultry meat,14.0,0.123,19.0,190.0,316.0,,1.053,1.801,10.973,0.081,0.047,0.0004,0.484,0.569,0.0
"Cured seasoned poultry meat, PROCESS Baking",7.0,0.03,24.0,256.0,255.0,0.018,0.7,1.77,10.3,0.1,0.07,0.0003,0.421,1.1,0.0
"Cured seasoned poultry meat, PROCESS Cooking in water",14.0,0.129,18.0,177.0,278.0,,1.098,1.978,9.506,0.071,0.031,0.0003,0.319,0.5,0.0
"Cured seasoned poultry meat, PROCESS Steaming",14.0,0.129,18.0,177.0,278.0,,1.098,1.978,9.506,0.071,0.031,0.0003,0.319,0.5,0.0
Curly kales,180.0,0.03,34.0,80.0,400.0,0.002,1.0,0.4,3.167,0.2,0.02,0.0,0.22,1.7,0.817
"Curly kales, PROCESS Cooking in water",180.0,0.02,8.0,80.0,160.0,0.002,1.0,0.2,2.169,0.22,0.1,0.0,0.15,1.3,0.719
"Curly kales, PROCESS Frying",20.6,0.05,25.0,160.0,401.0,0.002,1.7,1.16,1.82,0.11,0.2,0.0,1.24,0.01,
"Curly kales, PROCESS Steaming",180.0,0.02,8.0,80.0,160.0,0.002,1.0,0.2,2.169,0.22,0.1,0.0,0.15,1.3,0.719
Curry leaves,820.0,0.21,220.0,57.0,,,5.1,,4.4,0.21,0.08,0.0,,,
Curry powder,530.0,1.04,254.0,349.0,1260.0,0.0171,29.6,4.05,3.47,0.281,0.253,0.0,1.15,22.0,0.0
Curry sauce,13.0,0.05,19.0,31.0,350.0,,,0.1,2.3,0.09,0.07,,0.03,0.6,0.005
Custard,90.0,,10.0,74.0,130.0,0.001,,0.29,0.167,0.12,0.02,0.00026000000000000003,0.027,0.1,0.001
Cuttlefishes,27.0,0.98,28.0,143.0,273.0,0.066,0.6,1.1,6.0,0.05,0.07,0.002,0.69,1.2,
"Cuttlefishes, PROCESS Cooking in water",,,,,,,1.0,,,,,0.002,,,
"Cuttlefishes, PROCESS Frying",27.0,,36.0,143.0,273.0,,1.0,1.2,,,,0.002,,,
"Cuttlefishes, PROCESS Steaming",,,,,,,1.0,,,,,0.002,,,
Cyclamate,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dairy/egg soup,20.0,0.044,7.0,85.0,77.0,0.003,0.749,0.614,1.539,0.122,0.039,0.0006,0.027,0.756,0.003
Dandelions,150.0,0.17,36.0,66.0,76.0,0.0005,3.1,1.2,1.867,0.14,0.19,0.0,0.251,4.8,0.0
Dates,24.0,0.12,24.0,28.0,410.0,0.001,0.3,0.2,0.8,0.07,0.06,0.0,0.12,0.2,0.0
"Deer, fallow fresh meat",5.0,0.21,25.0,210.0,340.0,0.009,3.3,2.4,3.933,0.25,0.25,0.001,0.3,0.13,0.0
"Deer, fallow fresh meat, PROCESS Baking",15.0,0.224,26.0,239.0,367.0,,3.219,4.708,5.483,0.33,0.22,0.0012,0.286,0.153,0.0
"Deer, fallow fresh meat, PROCESS Cooking in water",9.0,0.179,15.0,170.0,179.0,,2.557,3.554,4.133,0.152,0.111,0.0007,0.133,0.115,0.0
"Deer, fallow fresh meat, PROCESS Steaming",9.0,0.179,15.0,170.0,179.0,,2.557,3.554,4.133,0.152,0.111,0.0007,0.133,0.115,0.0
"Deer, red fresh meat",5.0,0.21,25.0,210.0,340.0,0.009,3.3,2.4,3.933,0.25,0.25,0.001,0.3,0.13,
"Deer, red fresh meat, PROCESS Baking",15.5,0.3,28.5,230.0,335.0,,5.39,2.75,6.36,0.4,0.19,0.0008,,,0.0
"Deer, red fresh meat, PROCESS Cooking in water",9.0,0.179,15.0,170.0,179.0,,2.557,3.554,4.133,0.152,0.111,0.0007,0.133,0.115,0.0
"Deer, red fresh meat, PROCESS Steaming",9.0,0.179,15.0,170.0,179.0,,2.557,3.554,4.133,0.152,0.111,0.0007,0.133,0.115,0.0
Dehydrated/powdered vegetable juice,413.0,0.551,148.0,423.0,2815.0,,4.41,2.746,8.207,0.453,0.541,0.0,1.762,3.701,
Dessert halva,12.0,0.11,12.0,32.0,56.0,,0.31,0.2,0.597,0.02,0.02,0.0,0.02,1.96,0.002
Dewberries and similar-,60.0,0.11,23.0,25.0,185.0,0.0,1.0,0.2,0.84,0.04,0.03,0.0,0.03,2.4,
Diadromous fish,,0.0,23.0,232.0,396.0,,0.24,0.0,12.323,0.3,0.14,0.0039,0.55,2.39,0.0
"Diadromous fish, PROCESS Baking",0.0,0.0,25.0,248.0,399.0,,0.242,0.0,13.061,0.296,0.122,0.004200000000000001,0.587,2.645,0.0
"Diadromous fish, PROCESS Cooking in water",0.0,0.0,25.0,247.0,372.0,,0.241,0.0,11.308,0.263,0.132,0.0039,0.482,2.695,0.0
"Diadromous fish, PROCESS Frying",0.0,0.0,25.0,248.0,399.0,,0.242,0.0,13.693,0.32,0.133,0.004200000000000001,0.522,2.645,0.0
"Diadromous fish, PROCESS Steaming",0.0,0.0,25.0,247.0,372.0,,0.241,0.0,11.308,0.263,0.132,0.0039,0.482,2.695,0.0
Diet soft drink with caffeine,5.0,0.01,,20.0,,,,,0.0,,,0.0,0.0,0.0,0.0
Diet soft drinks with flavours,,,,7.0,,,0.2,,0.0,0.0,,0.0,0.0,,0.0
Diet soft drinks with fruit juice,,,,0.0,15.0,,,,0.042,,,0.0,,,0.0
Dietary foods for special medical purposes,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dill leaves,340.0,0.22,44.0,85.0,750.0,0.002,3.2,1.8,3.217,0.58,0.18,0.0,0.3,1.7,0.0
Dill seed,1520.0,0.78,260.0,280.0,1190.0,,16.3,4.5,6.1,0.28,0.42,0.0,0.2,0.0,0.0
Dolma,74.0,0.279,48.0,58.0,79.0,0.00102,1.079,1.467,1.355,0.058,0.054,0.0,0.072,1.404,
"Dolma, PROCESS Baking",74.0,0.279,48.0,58.0,79.0,0.004200000000000001,1.079,1.467,1.355,0.058,0.054,,0.072,1.404,0.022
"Dolma, PROCESS Cooking in water",11.0,0.57,21.0,53.0,146.0,0.002,0.6,0.5,1.355,0.03,0.02,0.0,0.07,1.404,0.022
"Dolma, PROCESS Steaming",11.0,0.57,21.0,53.0,146.0,0.002,0.6,0.5,1.355,0.03,0.02,0.0,0.07,1.404,0.022
Doner kebab,37.0,0.11,20.0,130.0,260.0,0.003,1.6,2.2,6.3,0.14,0.14,0.001,0.14,0.47,0.003
Dories,15.0,0.01,24.0,152.0,376.0,0.07,0.5,0.5,5.3,0.17,0.05,0.002,0.19,0.4,
Doughnuts-berliner,51.0,0.1,13.0,104.0,129.0,0.003,0.8,0.6,2.365,0.12,0.06,0.0003,0.078,0.9,0.004
"Drage, sugar coated",4.0,0.05,2.0,3.0,,0.0,0.2,0.04,1.635,,,,,,0.001
"Drage, sugar coated, QUAL Low / Reduced sugar",1.0,0.005,1.0,0.0,2.0,,0.0,0.018,0.017,0.0,0.0,0.0,0.001,0.0,0.0
